ru.yourok.torrserve	176	11234011
dev.patrickgold.florisboard	117	14143390
app.organicmaps	26082718	64105378
com.chess.clock	28	3256553
com.kitsumed.shizucallrecorder	19	5157407
org.fossify.filemanager	13	9982225
io.github.rumcajs.offlinewebsearch	28	15384279
de.marmaro.krt.ffupdater	179	4956874
org.cryptomator.lite	3030	20585634
com.github.catfriend1.syncthingfork	2010300	68382292
org.vinaygopinath.launchchat	8	2806428
com.streetwriters.notesnook	15589	40053928
org.fossify.gallery	28	38606538
com.cbouvat.android.saracroche	38	4706307
me.knighthat.kreate	141	18856180
fm.helio	317	9397888
com.foxdebug.acode	1008	16826562
rak.pixellwp	12	5987301
org.localsend.localsend_app	643	46558706
org.catrobat.paintroid	54	3606321
